"file_name","source_path","target_path","status"
"simulation_results_130.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_130.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_130.rds","offloaded"
"simulation_results_131.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_131.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_131.rds","offloaded"
"simulation_results_132.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_132.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_132.rds","offloaded"
"simulation_results_133.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_133.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_133.rds","offloaded"
"simulation_results_134.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_134.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_134.rds","offloaded"
"simulation_results_135.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_135.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_135.rds","offloaded"
"simulation_results_136.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_136.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_136.rds","offloaded"
"simulation_results_137.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_137.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_137.rds","offloaded"
"simulation_results_138.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_138.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_138.rds","offloaded"
"simulation_results_139.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_139.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_139.rds","offloaded"
"simulation_results_14.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_14.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_14.rds","offloaded"
"simulation_results_140.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_140.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_140.rds","offloaded"
